index,Airport Name,City,Country,three-digit code,four_digit,l1,l2
4452,Dayton-Wright Brothers Airport,Dayton,United States,MGY,KMGY,39.5890007,-84.22489929
4453,Myeik Airport,Myeik,Burma,MGZ,VYME,12.43980026,98.62149811
4454,Mahdia Airport,Mahdia,Guyana,MHA,SYMD,5.277490139,-59.15110016
4455,Mocopulli Airport,Castro,Chile,MHC,SCPQ,-42.340388,-73.715693
4456,Mashhad International Airport,Mashhad,Iran,MHD,OIMM,36.23519897,59.64099884
4457,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.47305679,8.514166832
4458,Marsh Harbour International Airport,Marsh Harbor,Bahamas,MHH,MYAM,26.51140022,-77.08350372
4459,Manhattan Regional Airport,Manhattan,United States,MHK,KMHK,39.14099884,-96.67079926
4460,Minchumina Airport,Lake Minchumina,United States,MHM,PAMH,63.88600159,-152.302002
4461,Minsk 1 Airport,Minsk,Belarus,MHP,UMMM,53.86449814,27.53969955
4462,Mariehamn Airport,Mariehamn,Finland,MHQ,EFMA,60.12220001,19.89819908
4463,Sacramento Mather Airport,Sacramento,United States,MHR,KMHR,38.55390167,-121.2979965
4464,Manchester Airport,Manchester NH,United States,MHT,KMHT,42.93259811,-71.43569946
4465,Mount Hotham Airport,Mount Hotham,Australia,MHU,YHOT,-37.04750061,147.3339996
4466,Mojave Airport,Mojave,United States,MHV,KMHV,35.05939865,-118.1520004
4467,Manihiki Island Airport,Manihiki Island,Cook Islands,MHX,NCMH,-10.3767004,-161.0019989
4468,RAF Mildenhall,Mildenhall,United Kingdom,MHZ,EGUN,52.36190033,0.4864059985
4469,Miami International Airport,Miami,United States,MIA,KMIA,25.79319954,-80.29060364
4470,Minot Air Force Base,Minot,United States,MIB,KMIB,48.41559982,-101.3580017
4471,Crystal Airport,Crystal,United States,MIC,KMIC,45.06200027,-93.35389709
4472,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID,MMMD,20.93700027,-89.65769959
4473,Delaware County Johnson Field,Muncie,United States,MIE,KMIE,40.24229813,-85.39589691
4474,Mianyang Airport,Mianyang,China,MIG,ZUMY,31.42810059,104.7409973
4475,Frank Miloye Milenkowichi–Marília State Airport,Marília,Brazil,MII,SBML,-22.19689941,-49.92639923
4476,Mili Island Airport,Mili Island,Marshall Islands,MIJ,MLIP,6.083330154,171.7330017
4477,Mikkeli Airport,Mikkeli,Finland,MIK,EFMI,61.6866,27.201799
4478,Merimbula Airport,Merimbula,Australia,MIM,YMER,-36.90859985,149.901001
4479,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.7580986,10.75469971
4480,Misima Island Airport,Misima Island,Papua New Guinea,MIS,AYMS,-10.6892004,152.8379974
4481,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,11.85529995,13.08090019
4482,Millville Municipal Airport,Millville,United States,MIV,KMIV,39.36780167,-75.07219696
4483,Manja Airport,Manja,Madagascar,MJA,FMSJ,-21.42610525,44.31650877
4484,Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.272069931,-7.587359905
4485,Moenjodaro Airport,Moenjodaro,Pakistan,MJD,OPMJ,27.33519936,68.14309692
4486,Mosjøen Airport (Kjærstad),Mosjoen,Norway,MJF,ENMS,65.78399658,13.21490002
4487,Mitiga Airport,Tripoli,Libya,MJI,HLLM,32.89410019,13.27600002
4488,Shark Bay Airport,Shark Bay,Australia,MJK,YSHK,-25.89389992,113.5770035
4489,Mouilla Ville Airport,Mouila,Gabon,MJL,FOGM,-1.84513998,11.05669975
4490,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),MJM,FZWA,-6.121240139,23.56900024
4491,Amborovy Airport,Mahajanga,Madagascar,MJN,FMNM,-15.66684174,46.35123253
4492,Mytilene International Airport,Mytilini,Greece,MJT,LGMT,39.05670166,26.59830093
4493,San Javier Airport,Murcia,Spain,MJV,LELC,37.77500153,-0.8123890162
4494,Mirny Airport,Mirnyj,Russia,MJZ,UERR,62.53469849,114.0390015
4495,Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC,KMKC,39.12319946,-94.59279633
4496,General Mitchell International Airport,Milwaukee,United States,MKE,KMKE,42.94720078,-87.89659882
4497,Muskegon County Airport,Muskegon,United States,MKG,KMKG,43.16949844,-86.23819733
4498,Molokai Airport,Molokai,United States,MKK,PHMK,21.1529007,-157.095993
4499,Mc Kellar Sipes Regional Airport,Jackson,United States,MKL,KMKL,35.59989929,-88.91560364
4500,Mukah Airport,Mukah,Malaysia,MKM,WBGK,2.906389952,112.0800018
4501,Davis Field,Muskogee,United States,MKO,KMKO,35.65650177,-95.36669922
4502,Makemo Airport,Makemo,French Polynesia,MKP,NTGM,-16.58390045,-143.6580048
4503,Mopah Airport,Merauke,Indonesia,MKQ,WAKK,-8.520290375,140.4179993
4504,Meekatharra Airport,Meekatharra,Australia,MKR,YMEK,-26.61170006,118.5479965
4505,Mekane Selam Airport,Mekane Selam,Ethiopia,MKS,HAMA,10.7254,38.7415
4506,Mankato Regional Airport,Mankato,United States,MKT,KMKT,44.22159958,-93.91870117
4507,Makokou Airport,Makokou,Gabon,MKU,FOOK,0.5792109966,12.89089966
4508,Rendani Airport,Manokwari,Indonesia,MKW,WASR,-0.8918330073,134.048996
4509,Mackay Airport,Mackay,Australia,MKY,YBMK,-21.17169952,149.1799927
4510,Malacca Airport,Malacca,Malaysia,MKZ,WMKM,2.263360024,102.2519989
4511,Malta International Airport,Malta,Malta,MLA,LMML,35.857498,14.4775
4512,Melbourne International Airport,Melbourne,United States,MLB,KMLB,28.10280037,-80.64530182
4513,Mc Alester Regional Airport,Mcalester,United States,MLC,KMLC,34.88240051,-95.78350067
4514,Malad City Airport,Malad City,United States,MLD,KMLD,42.16659927,-112.2969971
4515,Malé International Airport,Male,Maldives,MLE,VRMM,4.191830158,73.52909851
4516,Abdul Rachman Saleh Airport,Malang,Indonesia,MLG,WARA,-7.926559925,112.7149963
4517,Quad City International Airport,Moline,United States,MLI,KMLI,41.44850159,-90.50749969
4518,Baldwin County Airport,Milledgeville,United States,MLJ,KMLJ,33.15420151,-83.24069977
4519,Marshall Don Hunter Sr Airport,Marshall,United States,MLL,PADM,61.86429977,-162.026001
4520,General Francisco J. Mujica International Airport,Morelia,Mexico,MLM,MMMM,19.84989929,-101.0250015
4521,Melilla Airport,Melilla,Spain,MLN,GEML,35.27980042,-2.956259966
4522,Milos Airport,Milos,Greece,MLO,LGML,36.69689941,24.4769001
4523,Frank Wiley Field,Miles City,United States,MLS,KMLS,46.4280014,-105.8860016
4524,Millinocket Municipal Airport,Millinocket,United States,MLT,KMLT,45.64780045,-68.68560028
4525,Monroe Regional Airport,Monroe,United States,MLU,KMLU,32.51089859,-92.03769684
4526,Spriggs Payne Airport,Monrovia,Liberia,MLW,GLMR,6.289060116,-10.75870037
4527,Malatya Tulga Airport,Malatya,Turkey,MLX,LTAO,38.353699,38.253899
4528,Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,PAML,64.99759674,-150.6439972
4529,Cerro Largo International Airport,Melo,Uruguay,MLZ,SUMO,-32.33789825,-54.21670151
4530,Memanbetsu Airport,Memanbetsu,Japan,MMB,RJCM,43.88059998,144.1640015
4531,Minami-Daito Airport,Minami Daito,Japan,MMD,ROMD,25.8465004,131.2630005
4532,Durham Tees Valley Airport,Teesside,United Kingdom,MME,EGNV,54.50920105,-1.429409981
4533,Mount Magnet Airport,Mount Magnet,Australia,MMG,YMOG,-28.11610031,117.8420029
4534,Mammoth Yosemite Airport,Mammoth Lakes,United States,MMH,KMMH,37.62409973,-118.8379974
4535,McMinn County Airport,Athens,United States,MMI,KMMI,35.39730072,-84.56259918
4536,Matsumoto Airport,Matsumoto,Japan,MMJ,RJAF,36.16680145,137.9230042
4537,Murmansk Airport,Murmansk,Russia,MMK,ULMM,68.78170013,32.75080109
4538,Maio Airport,Maio,Cape Verde,MMO,GVMA,15.1559,-23.21369934
4539,Mc Entire Joint National Guard Base,Eastover,United States,MMT,KMMT,33.92079926,-80.80130005
4540,Morristown Municipal Airport,Morristown,United States,MMU,KMMU,40.79940033,-74.41490173
4541,Mc Minnville Municipal Airport,Mackminnville,United States,MMV,KMMV,45.19440079,-123.1360016
4542,Malmö Sturup Airport,Malmoe,Sweden,MMX,ESMS,55.53630536,13.37619781
4543,Miyako Airport,Miyako,Japan,MMY,ROMY,24.78280067,125.2949982
4544,Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,35.93080139,64.7609024
4545,Melangguane Airport,Melonguane,Indonesia,MNA,WAMN,4.006939888,126.6729965
4546,Muanda Airport,Muanda,Congo (Kinshasa),MNB,FZAG,-5.930860043,12.35179996
4547,Nacala Airport,Nacala,Mozambique,MNC,FQNC,-14.48820019,40.71220016
4548,Mana Island Airport,Mana Island,Fiji,MNF,NFMA,-17.67309952,177.0980072
4549,Maningrida Airport,Maningrida,Australia,MNG,YMGD,-12.05609989,134.2339935
4550,John A. Osborne Airport,Geralds,Montserrat,MNI,TRPG,16.79140091,-62.19329834
4551,Mananjary Airport,Mananjary,Madagascar,MNJ,FMSM,-21.20179939,48.35829926
4552,Maiana Airport,Maiana,Kiribati,MNK,NGMA,1.003610015,173.0310059
4553,Ninoy Aquino International Airport,Manila,Philippines,MNL,RPLL,14.5086,121.019997
4554,Menominee Marinette Twin County Airport,Macon,United States,MNM,KMNM,45.12670135,-87.63839722
4555,Mawlamyine Airport,Mawlamyine,Burma,MNU,VYMM,16.44470024,97.66069794
4556,Manicoré Airport,Manicore,Brazil,MNX,SBMY,-5.81137991,-61.27830124
4557,Mono Airport,Stirling Island,Solomon Islands,MNY,AGGO,-7.416940212,155.5650024
4558,Manassas Regional Airport/Harry P. Davis Field,Manassas,United States,MNZ,KHEF,38.72140121,-77.51540375
4559,Orestes Acosta Airport,Moa,Cuba,MOA,MUMO,20.65390015,-74.92220306
4560,Mobile Regional Airport,Mobile,United States,MOB,KMOB,30.69120026,-88.24279785
4561,Mário Ribeiro Airport,Montes Claros,Brazil,MOC,SBMK,-16.70689964,-43.81890106
4562,Modesto City Co-Harry Sham Field,Modesto,United States,MOD,KMOD,37.62580109,-120.9540024
4563,Maumere(Wai Oti) Airport,Maumere,Indonesia,MOF,WATC,-8.640649796,122.2369995
4564,Mong Hsat Airport,Mong Hsat,Burma,MOG,VYMS,20.51679993,99.25679779
4565,Mitiaro Island Airport,Mitiaro Island,Cook Islands,MOI,NCMR,-19.84250069,-157.7030029
4566,Molde Airport,Molde,Norway,MOL,ENML,62.74470139,7.262499809
4567,Mount Cook Airport,Mount Cook,New Zealand,MON,NZMC,-43.76499939,170.1329956
4568,Moomba Airport,Moomba,Australia,MOO,YOOM,-28.09939957,140.1970062
4569,Morondava Airport,Morondava,Madagascar,MOQ,FMMV,-20.28470039,44.31760025
4570,Minot International Airport,Minot,United States,MOT,KMOT,48.25939941,-101.2799988
4571,Mountain Village Airport,Mountain Village,United States,MOU,PAMO,62.09540176,-163.6820068
4572,Moranbah Airport,Moranbah,Australia,MOV,YMRB,-22.05780029,148.0769959
4573,Moorea Airport,Moorea,French Polynesia,MOZ,NTTM,-17.48999977,-149.7619934
4574,Katima Mulilo Airport,Mpacha,Namibia,MPA,FYKM,-17.63439941,24.17670059
4575,Mirpur Khas Air Base,Mirpur Khas,Pakistan,MPD,OPMK,25.68250084,69.07279968
4576,Godofredo P. Ramos Airport,Caticlan,Philippines,MPH,RPVE,11.9245,121.954002
4577,Mokpo Heliport,Mokpo,South Korea,MPK,RKJM,34.75889969,126.3799973
4578,Montpellier-Méditerranée Airport,Montpellier,France,MPL,LFMT,43.57619858,3.963010073
4579,Maputo Airport,Maputo,Mozambique,MPM,FQMA,-25.92079926,32.57260132
4580,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,MPN,EGYP,-51.82279968,-58.44720078
4581,Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO,KMPO,41.13750076,-75.37889862
4582,Mc Pherson Airport,Mc Pherson,United States,MPR,KMPR,38.35240173,-97.69129944
4583,Edward F Knapp State Airport,Montpelier,United States,MPV,KMPV,44.20349884,-72.56230164
4584,Mariupol International Airport,Mariupol International,Ukraine,MPW,UKCM,47.0760994,37.44960022
4585,Maripasoula Airport,Maripasoula,French Guiana,MPY,SOOA,3.6575,-54.037201
4586,Miquelon Airport,Miquelon,Saint Pierre and Miquelon,MQC,LFVM,47.09550095,-56.38029861
4587,Magnitogorsk International Airport,Magnetiogorsk,Russia,MQF,USCM,53.39310074,58.75569916
4588,Minaçu Airport,Minacu,Brazil,MQH,SBMC,-13.5491,-48.195301
4589,Mildura Airport,Mildura,Australia,MQL,YMIA,-34.22919846,142.0859985
4590,Mardin Airport,Mardin,Turkey,MQM,LTCR,37.22330093,40.63169861
4591,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway,MQN,ENRA,66.36389923,14.30140018
4592,Kruger Mpumalanga International Airport,Mpumalanga,South Africa,MQP,FAKN,-25.38319969,31.10560036
4593,Moundou Airport,Moundou,Chad,MQQ,FTTD,8.624409676,16.07139969
4594,Mustique Airport,Mustique,Saint Vincent and the Grenadines,MQS,TVSM,12.88790035,-61.18019867
4595,Sawyer International Airport,Gwinn,United States,MQT,KSAW,46.35359955,-87.395401
4596,Mekele Airport,Makale,Ethiopia,MQX,HAMK,13.4673996,39.53350067
4597,Marandúa Air Base,Marandúa,Colombia,MQZ,SKUA,5.52448,-68.6856
4598,Eastern WV Regional Airport/Shepherd Field,Martinsburg,United States,MRB,KMRB,39.40190125,-77.98459625
4599,Alberto Carnevalli Airport,Merida,Venezuela,MRD,SVMD,8.58207798,-71.16104126
4600,Mara Serena Lodge Airstrip,Masai Mara,Kenya,MRE,HKMS,-1.406111,35.008057
4601,Marfa Municipal Airport,Marfa,United States,MRF,KMRF,30.371099,-104.017997
4602,Mareeba Airport,,Australia,MRG,YMBA,-17.06920052,145.4190063
4603,Merrill Field,Anchorage,United States,MRI,PAMR,61.21350098,-149.8439941
4604,Marco Island Airport,Marco Island Airport,United States,MRK,KMKY,25.99500084,-81.67250061
4605,Foothills Regional Airport,Morganton,United States,MRN,KMRN,35.82020187,-81.61139679
4606,Hood Airport,Masterton,New Zealand,MRO,NZMS,-40.97330093,175.6340027
4607,Marinduque Airport,Gasan,Philippines,MRQ,RPUW,13.36100006,121.8259964
4608,Marseille Provence Airport,Marseille,France,MRS,LFML,43.43927192,5.221424103
4609,Union County Airport,Marysville,United States,MRT,KMRT,40.22470093,-83.35160065
4610,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,-20.43020058,57.68360138
4611,Mineralnyye Vody Airport,Mineralnye Vody,Russia,MRV,URMM,44.22510147,43.08190155
4612,Mahshahr Airport,Bandar Mahshahr,Iran,MRX,OIAM,30.55620003,49.15190125
4613,Monterey Peninsula Airport,Monterey,United States,MRY,KMRY,36.5870018,-121.8430023
4614,Moree Airport,Moree,Australia,MRZ,YMOR,-29.49889946,149.8450012
4615,Muskrat Dam Airport,Muskrat Dam,Canada,MSA,CZMD,53.44139862,-91.76280212
4616,Kent International Airport,Manston,United Kingdom,MSE,EGMH,51.342201,1.34611
4617,Masirah Air Base,Masirah,Oman,MSH,OOMA,20.67539978,58.89049911
4618,Fazenda Palmital Airport,South Aari Atoll,Maldives,MSI,SIAM,-20.69639969,-48.28639984
4619,Misawa Air Base,Misawa,Japan,MSJ,RJSM,40.70320129,141.3679962
4620,Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL,KMSL,34.74530029,-87.61019897
4621,Dane County Regional Truax Field,Madison,United States,MSN,KMSN,43.13990021,-89.33750153
4622,Missoula International Airport,Missoula,United States,MSO,KMSO,46.91630173,-114.0910034
4623,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,KMSP,44.88199997,-93.22180176
4624,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068
4625,Muş Airport,Mus,Turkey,MSR,LTCK,38.74779892,41.66120148
4626,Massena International Richards Field,Massena,United States,MSS,KMSS,44.93579865,-74.84559631
4627,Maastricht Aachen Airport,Maastricht,Netherlands,MST,EHBK,50.9117012,5.770140171
4628,Moshoeshoe I International Airport,Maseru,Lesotho,MSU,FXMM,-29.46229935,27.55249977
4629,Massawa International Airport,Massawa,Eritrea,MSW,HHMS,15.67000008,39.37009811
4630,Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY,KMSY,29.99340057,-90.25800323
4631,Namibe Airport,Mocamedes,Angola,MSZ,FNMO,-15.26119995,12.14680004
4632,Selfridge Angb Airport,Mount Clemens,United States,MTC,KMTC,42.60829926,-82.83550262
4633,Mizan Teferi Airport,Mizan Teferi,Ethiopia,MTF,HAMT,6.9571,35.5547
4634,The Florida Keys Marathon Airport,Marathon,United States,MTH,KMTH,24.72610092,-81.05139923
4635,Montrose Regional Airport,Montrose CO,United States,MTJ,KMTJ,38.50979996,-107.8939972
4636,Makin Island Airport,Makin,Kiribati,MTK,NGMN,3.374439955,172.9920044
4637,Maitland Airport,Maitland,Australia,MTL,YMND,-32.70330048,151.4880066
4638,Metlakatla Seaplane Base,Metakatla,United States,MTM,PAMM,55.13100052,-131.5780029
4639,Martin State Airport,Baltimore,United States,MTN,KMTN,39.32569885,-76.4138031
4640,Montauk Airport,Montauk,United States,MTP,KMTP,41.07649994,-71.92079926
4641,Los Garzones Airport,Monteria,Colombia,MTR,SKMR,8.82374,-75.8258
4642,Matsapha Airport,Manzini,Swaziland,MTS,FDMS,-26.52899933,31.30750084
4643,Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT,MMMT,18.10339928,-94.58070374
4644,Mota Lava Airport,Ablow,Vanuatu,MTV,NVSA,-13.66600037,167.7120056
4645,General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,25.7784996,-100.1070023
4646,Munda Airport,Munda,Solomon Islands,MUA,AGGM,-8.327969551,157.2630005
4647,Maun Airport,Maun,Botswana,MUB,FBMN,-19.97260094,23.43110085
4648,Munich International Airport,Munich,Germany,MUC,EDDM,48.35380173,11.78610039
4649,Waimea Kohala Airport,Kamuela,United States,MUE,PHMU,20.00130081,-155.6679993
4650,Mersa Matruh Airport,Mersa-matruh,Egypt,MUH,HEMM,31.3253994,27.22170067
4651,Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,United States,MUI,KMUI,40.43479919,-76.56939697
4652,Mauke Airport,Mauke Island,Cook Islands,MUK,NCMK,-20.13610077,-157.3450012
4653,Maturín Airport,Maturin,Venezuela,MUN,SVMT,9.754529953,-63.1473999
4654,Mountain Home Air Force Base,Mountain Home,United States,MUO,KMUO,43.043598,-115.872002
4655,Marudi Airport,Marudi,Malaysia,MUR,WBGM,4.178979874,114.3290024
4656,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.20769882,0.147141993
4657,Multan International Airport,Multan,Pakistan,MUX,OPMT,30.20319939,71.4190979
4658,Musoma Airport,Musoma,Tanzania,MUZ,HTMU,-1.503,33.8021
4659,Reykjahlíð Airport,Myvatn,Iceland,MVA,BIRL,65.65579987,-16.91810036
4660,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,MVB,FOON,-1.656159997,13.43799973
4661,Carrasco International /General C L Berisso Airport,Montevideo,Uruguay,MVD,SUMU,-34.83840179,-56.03079987
4662,Dix-Sept Rosado Airport,Mocord,Brazil,MVF,SBMS,-5.201920032,-37.36429977
4663,Morrisville Stowe State Airport,Morrisville,United States,MVL,KMVL,44.5345993,-72.61399841
4664,Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP,SKMU,1.25366,-70.2339
4665,Mogilev Airport,Mogilev,Belarus,MVQ,UMOO,53.95489883,30.0951004
4666,Salak Airport,Maroua,Cameroon,MVR,FKKL,10.4513998,14.25739956
4667,Mucuri Airport,Mucuri,Brazil,MVS,SNMU,-18.0489006,-39.86420059
4668,Mataiva Airport,Mataiva,French Polynesia,MVT,NTGV,-14.86810017,-148.7169952
4669,Megève Airport,Verdun,France,MVV,LFHM,45.82080078,6.652219772
4670,Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY,KMVY,41.39310074,-70.61430359
4671,Masvingo International Airport,Masvingo,Zimbabwe,MVZ,FVMV,-20.05529976,30.85910034
4672,Williamson County Regional Airport,Marion,United States,MWA,KMWA,37.75500107,-89.01110077
4673,Lawrence J Timmerman Airport,Milwaukee,United States,MWC,KMWC,43.11040115,-88.03440094
4674,Merowe New Airport,Merowe,Sudan,MWE,HSMN,18.44333333,31.84333333
4675,Maewo-Naone Airport,Maewo Island,Vanuatu,MWF,NVSN,-15.0,168.0829926
4676,Grant County International Airport,Grant County Airport,United States,MWH,KMWH,47.20769882,-119.3199997
4677,Tarempa Airport,Anambas Islands,Indonesia,MWK,WIOM,3.348119974,106.2580032
4678,Mineral Wells Airport,Mineral Wells,United States,MWL,KMWL,32.78160095,-98.06020355
4679,Windom Municipal Airport,Windom,United States,MWM,KMWM,43.91339874,-95.10939789
